Order_ID,Order_Date,Product_Code,Quantity,Vendor_ID,Country,Requested_Delivery_Date,Lead_Time,Season,Product_Category,Price,Promotion,Weather_Index,Historical_Orders,Delivery_Status
O00030,2009-07-29,P013,44,V100,Spain,2009-12-17,141,Summer,Men's Parka,353,1,Mild,551,0
O00031,2009-07-09,P018,39,V027,Russia,2009-09-01,54,Summer,Men's Parka,270,1,Cold,312,1
O00032,2011-02-18,P017,13,V018,Poland,2011-04-24,65,Winter,Men's Parka,332,1,Snow,618,1
O00033,2009-07-18,P014,37,V043,UK,2009-12-29,164,Summer,Outdoor Series,394,0,Cold,626,0
O00034,2011-01-06,P018,37,V031,Italy,2011-05-29,143,Winter,Men's Parka,278,1,Snow,619,0
O00035,2010-12-06,P002,42,V070,Germany,2011-03-26,110,Winter,Men's Parka,343,1,Cold,420,1
O00036,2010-06-26,P012,42,V015,Poland,2010-12-01,158,Summer,Men's Parka,374,1,Cold,852,0
O00037,2009-03-30,P018,35,V084,Germany,2009-07-29,121,Spring,Women's Parka,410,1,Mild,582,0
O00038,2011-07-30,P020,12,V062,UK,2011-12-26,149,Summer,Children's Parka,238,1,Cold,318,0
O00039,2009-09-13,P003,50,V095,France,2010-01-11,120,Fall,Men's Parka,471,0,Mild,554,1
O00040,2011-02-15,P004,19,V097,Germany,2011-07-04,139,Winter,Men's Parka,386,1,Cold,918,0
O00041,2009-06-11,P008,23,V075,Germany,2009-11-07,149,Summer,Men's Parka,238,1,Cold,859,0
O00042,2010-08-24,P012,21,V090,Germany,2011-01-08,137,Summer,Women's Parka,455,1,Snow,453,0
O00043,2011-01-11,P006,44,V027,Poland,2011-05-26,135,Winter,Men's Parka,357,1,Mild,482,0
O00044,2010-01-29,P020,33,V097,France,2010-06-26,148,Winter,Outdoor Series,353,0,Mild,383,0
O00045,2009-05-23,P002,32,V096,UK,2009-06-29,37,Spring,Women's Parka,408,0,Cold,852,1
O00046,2009-04-04,P019,50,V098,France,2009-09-24,173,Spring,Women's Parka,211,0,Mild,324,0
O00047,2010-04-12,P013,48,V029,Poland,2010-05-18,36,Spring,Women's Parka,213,0,Cold,997,1
O00048,2010-08-16,P011,29,V042,Italy,2010-12-31,137,Summer,Children's Parka,345,0,Cold,514,0
O00049,2009-06-13,P014,6,V046,UK,2009-08-04,52,Summer,Children's Parka,367,0,Cold,902,1
O00050,2010-04-22,P004,25,V035,France,2010-06-26,65,Spring,Men's Parka,294,1,Cold,691,1
O00051,2009-07-26,P001,40,V065,France,2009-11-10,107,Summer,Women's Parka,247,1,Cold,703,1
O00052,2011-02-18,P004,19,V088,France,2011-05-21,92,Winter,Women's Parka,270,0,Cold,464,1
O00053,2010-07-24,P009,30,V055,UK,2011-01-18,178,Summer,Women's Parka,468,1,Mild,340,0
O00054,2011-07-18,P008,41,V036,Germany,2011-12-26,161,Summer,Outdoor Series,251,0,Cold,544,0
O00055,2011-01-18,P017,10,V007,UK,2011-05-23,125,Winter,Men's Parka,385,1,Snow,826,0
O00056,2009-11-30,P017,11,V009,UK,2010-01-31,62,Fall,Outdoor Series,258,0,Mild,680,1
O00057,2011-01-29,P018,41,V048,Germany,2011-07-17,169,Winter,Men's Parka,248,0,Snow,857,0
O00058,2010-12-29,P019,22,V045,France,2011-06-21,174,Winter,Men's Parka,335,1,Cold,867,0
O00059,2010-03-06,P019,27,V058,UK,2010-06-19,105,Spring,Men's Parka,370,0,Snow,708,1
O00060,2010-07-01,P008,41,V063,Germany,2010-08-13,43,Summer,Men's Parka,362,1,Snow,1000,1
O00061,2009-05-27,P015,40,V065,Germany,2009-10-04,130,Spring,Men's Parka,263,0,Cold,585,0
O00062,2009-12-17,P012,37,V068,Italy,2010-02-17,62,Winter,Men's Parka,293,0,Mild,943,1
O00063,2011-12-30,P013,26,V016,UK,2012-05-11,133,Winter,Children's Parka,495,1,Mild,321,0
O00064,2010-05-17,P015,5,V061,Poland,2010-06-17,31,Spring,Men's Parka,308,0,Snow,975,1
O00065,2009-12-01,P019,6,V091,Spain,2010-04-28,148,Winter,Men's Parka,498,1,Cold,755,0
O00066,2011-08-05,P017,11,V069,Germany,2012-01-14,162,Summer,Women's Parka,240,1,Cold,846,0
O00067,2011-02-17,P005,22,V087,France,2011-07-14,147,Winter,Women's Parka,318,0,Snow,853,0
O00068,2010-07-07,P012,15,V069,Russia,2010-08-19,43,Summer,Men's Parka,225,1,Mild,312,1
O00069,2010-03-26,P001,21,V038,France,2010-05-16,51,Spring,Women's Parka,341,0,Cold,455,1
O00070,2010-10-27,P016,21,V058,UK,2010-12-10,44,Fall,Children's Parka,359,0,Cold,701,1
O00071,2009-04-25,P004,42,V080,Germany,2009-08-02,99,Spring,Women's Parka,481,1,Mild,629,1
O00072,2010-04-15,P010,19,V048,Germany,2010-06-11,57,Spring,Women's Parka,477,1,Cold,461,1
O00073,2009-03-07,P014,46,V087,Germany,2009-06-30,115,Spring,Men's Parka,240,1,Cold,922,1
O00074,2010-10-09,P003,18,V089,Germany,2010-12-02,54,Fall,Women's Parka,481,0,Mild,646,1
O00075,2011-04-02,P004,39,V009,UK,2011-07-15,104,Spring,Women's Parka,495,1,Cold,392,1
O00076,2010-07-03,P005,42,V025,France,2010-12-24,174,Summer,Men's Parka,479,1,Snow,691,0
O00077,2009-05-16,P012,26,V059,UK,2009-10-16,153,Spring,Men's Parka,352,0,Cold,589,0
O00078,2010-03-09,P010,18,V012,Russia,2010-07-01,114,Spring,Children's Parka,482,0,Cold,747,1
O00079,2010-10-07,P011,29,V011,UK,2010-11-21,45,Fall,Outdoor Series,352,0,Snow,914,1
O00080,2010-03-12,P015,50,V051,France,2010-05-12,61,Spring,Men's Parka,251,1,Mild,511,1
O00081,2011-10-20,P007,24,V023,Germany,2012-04-16,179,Fall,Children's Parka,406,0,Mild,508,0
O00082,2011-03-22,P017,48,V037,France,2011-08-29,160,Spring,Men's Parka,220,1,Cold,542,0
O00083,2011-07-29,P016,38,V010,UK,2011-09-10,43,Summer,Children's Parka,359,1,Snow,650,1
O00084,2009-10-20,P012,34,V014,Russia,2010-01-10,82,Fall,Women's Parka,415,0,Mild,727,1
O00085,2010-06-27,P016,29,V022,Spain,2010-12-06,162,Summer,Women's Parka,247,0,Mild,435,0
O00086,2009-10-13,P004,27,V036,France,2009-12-18,66,Fall,Women's Parka,370,1,Snow,504,1
O00087,2010-05-21,P015,11,V015,UK,2010-11-10,173,Spring,Women's Parka,337,1,Snow,356,0
O00088,2010-06-23,P015,12,V090,Germany,2010-11-26,156,Summer,Men's Parka,226,1,Mild,494,0
O00089,2011-05-28,P011,2,V019,Russia,2011-07-31,64,Spring,Women's Parka,270,1,Cold,919,1
O00090,2011-03-29,P003,9,V064,Poland,2011-06-24,87,Spring,Men's Parka,235,1,Cold,779,1
O00091,2011-01-12,P010,47,V020,UK,2011-03-22,69,Winter,Men's Parka,248,1,Mild,607,1
O00092,2010-03-26,P002,16,V027,Germany,2010-07-11,107,Spring,Women's Parka,202,1,Cold,569,1
O00093,2009-10-11,P004,43,V067,Russia,2010-01-28,109,Fall,Outdoor Series,254,1,Cold,321,1
O00094,2011-11-10,P001,17,V081,Spain,2011-12-11,31,Fall,Men's Parka,444,0,Mild,815,1
O00095,2011-10-08,P011,48,V003,UK,2012-03-10,154,Fall,Men's Parka,221,1,Cold,819,0
O00096,2009-07-06,P004,45,V038,Russia,2009-09-25,81,Summer,Women's Parka,440,1,Mild,354,1
O00097,2009-04-07,P006,48,V054,Germany,2009-06-05,59,Spring,Men's Parka,384,1,Cold,742,1
O00098,2009-08-13,P008,6,V088,Germany,2009-09-29,47,Summer,Women's Parka,407,0,Cold,799,1
O00099,2009-11-10,P017,14,V070,France,2009-12-10,30,Fall,Men's Parka,477,0,Mild,343,1
O00100,2009-11-24,P006,11,V017,UK,2010-02-01,69,Fall,Children's Parka,254,1,Cold,817,1
O00101,2011-05-15,P018,26,V061,France,2011-07-14,60,Spring,Men's Parka,335,1,Snow,919,1
O00102,2009-05-11,P006,7,V045,UK,2009-10-21,163,Spring,Women's Parka,281,1,Cold,871,0
O00103,2011-02-28,P011,7,V054,Poland,2011-04-23,54,Winter,Outdoor Series,487,1,Cold,794,1
O00104,2011-02-21,P018,5,V057,UK,2011-05-25,93,Winter,Men's Parka,326,1,Cold,343,1
O00105,2011-08-17,P014,31,V095,Russia,2011-11-07,82,Summer,Children's Parka,241,1,Snow,910,1
O00106,2011-12-20,P015,36,V083,Russia,2012-02-14,56,Winter,Women's Parka,371,1,Mild,472,1
O00107,2010-05-30,P008,4,V003,Russia,2010-10-28,151,Spring,Men's Parka,286,0,Cold,342,0
O00108,2009-01-24,P013,2,V038,Germany,2009-03-01,36,Winter,Outdoor Series,294,1,Mild,995,1
O00109,2009-08-23,P006,50,V025,Poland,2010-01-29,159,Summer,Outdoor Series,491,1,Snow,420,0
O00110,2010-07-01,P006,26,V009,Spain,2010-11-21,143,Summer,Men's Parka,253,1,Cold,913,0
O00111,2010-11-28,P014,34,V003,France,2011-04-07,130,Fall,Children's Parka,208,0,Mild,929,0
O00112,2009-08-17,P013,49,V030,Spain,2009-09-30,44,Summer,Men's Parka,440,0,Cold,394,1
O00113,2010-08-25,P001,6,V067,UK,2010-10-25,61,Summer,Men's Parka,311,0,Cold,853,1
O00114,2011-06-10,P020,7,V083,UK,2011-09-24,106,Summer,Children's Parka,264,1,Cold,944,1
O00115,2009-11-20,P007,17,V043,France,2010-04-02,133,Fall,Men's Parka,286,0,Cold,588,0
O00116,2011-07-19,P015,40,V053,Russia,2011-12-19,153,Summer,Women's Parka,460,0,Cold,527,0
O00117,2009-01-07,P019,10,V075,France,2009-03-25,77,Winter,Men's Parka,322,1,Mild,380,1
O00118,2010-06-24,P014,6,V044,Italy,2010-09-22,90,Summer,Children's Parka,408,1,Snow,394,1
O00119,2011-10-23,P013,42,V084,Poland,2012-04-09,169,Fall,Women's Parka,202,1,Mild,504,0
O00120,2010-01-01,P001,25,V083,Poland,2010-04-07,96,Winter,Children's Parka,467,1,Cold,997,1
O00121,2011-11-06,P007,20,V042,Russia,2012-03-27,142,Fall,Men's Parka,339,0,Snow,448,0
O00122,2009-08-06,P007,15,V063,France,2009-10-06,61,Summer,Men's Parka,495,0,Snow,699,1
O00123,2010-09-04,P009,16,V076,Poland,2011-01-22,140,Fall,Outdoor Series,296,1,Cold,687,0
O00124,2011-11-06,P003,48,V086,Germany,2012-01-12,67,Fall,Women's Parka,452,1,Snow,402,1
O00125,2010-02-12,P019,19,V090,Germany,2010-03-19,35,Winter,Men's Parka,480,1,Cold,398,1
O00126,2009-11-10,P004,29,V068,Russia,2010-01-26,77,Fall,Men's Parka,321,0,Mild,643,1
O00127,2011-02-05,P018,41,V071,UK,2011-04-12,66,Winter,Men's Parka,230,0,Cold,850,1
O00128,2009-11-27,P006,9,V057,Germany,2010-02-26,91,Fall,Women's Parka,420,1,Cold,582,1
O00129,2011-12-23,P012,9,V059,France,2012-03-05,73,Winter,Women's Parka,308,1,Mild,866,1
O00130,2009-01-02,P011,34,V039,UK,2009-06-11,160,Winter,Children's Parka,398,1,Cold,646,0
O00131,2010-10-26,P007,11,V073,Spain,2011-04-13,169,Fall,Children's Parka,298,0,Snow,874,0
O00132,2011-09-28,P015,2,V017,Russia,2011-12-18,81,Fall,Men's Parka,470,0,Cold,348,1
O00133,2009-02-09,P004,3,V040,Spain,2009-07-10,151,Winter,Outdoor Series,349,0,Mild,651,0
O00134,2009-08-18,P009,43,V022,Germany,2010-01-17,152,Summer,Women's Parka,376,1,Mild,466,0
O00135,2011-01-14,P016,23,V034,Russia,2011-04-28,104,Winter,Children's Parka,269,0,Cold,708,1
O00136,2010-09-22,P017,21,V030,Russia,2011-01-04,104,Fall,Men's Parka,407,0,Cold,546,1
O00137,2010-05-06,P011,31,V062,Russia,2010-06-30,55,Spring,Outdoor Series,410,0,Cold,490,1
O00138,2009-04-29,P020,30,V048,Germany,2009-10-26,180,Spring,Outdoor Series,496,0,Mild,973,0
O00139,2010-05-09,P013,35,V037,Poland,2010-10-12,156,Spring,Men's Parka,347,0,Cold,422,0
O00140,2009-06-11,P020,18,V099,Russia,2009-10-13,124,Summer,Outdoor Series,337,1,Cold,414,0
O00141,2009-06-25,P013,36,V007,Germany,2009-10-03,100,Summer,Outdoor Series,327,0,Cold,908,1
O00142,2011-09-23,P019,29,V019,Germany,2012-01-31,130,Fall,Children's Parka,263,1,Snow,971,0
O00143,2009-05-22,P004,9,V046,Russia,2009-09-27,128,Spring,Women's Parka,415,1,Snow,712,0
O00144,2011-12-27,P012,45,V037,Germany,2012-02-22,57,Winter,Men's Parka,330,1,Mild,333,1
O00145,2009-09-15,P012,35,V059,Poland,2010-02-10,148,Fall,Outdoor Series,454,1,Cold,602,0
O00146,2009-09-20,P015,12,V022,Germany,2010-02-03,136,Fall,Men's Parka,200,1,Cold,765,0
O00147,2011-09-01,P020,38,V080,UK,2012-01-17,138,Fall,Men's Parka,258,1,Cold,1000,0
O00148,2009-12-05,P006,39,V021,Poland,2010-02-10,67,Winter,Women's Parka,407,0,Mild,988,1
O00149,2010-06-27,P010,30,V092,Russia,2010-08-03,37,Summer,Men's Parka,297,1,Mild,462,1
O00150,2011-12-17,P020,41,V069,Russia,2012-03-28,102,Winter,Outdoor Series,329,0,Cold,450,1
O00151,2011-05-17,P019,48,V037,France,2011-10-11,147,Spring,Women's Parka,265,1,Cold,318,0
O00152,2010-03-10,P003,41,V024,Russia,2010-05-09,60,Spring,Outdoor Series,495,0,Mild,621,1
O00153,2010-02-16,P005,37,V023,Russia,2010-08-09,174,Winter,Men's Parka,294,0,Cold,531,0
O00154,2010-10-01,P011,28,V091,Germany,2011-02-07,129,Fall,Women's Parka,497,0,Mild,915,0
O00155,2011-03-29,P004,34,V089,France,2011-04-30,32,Spring,Men's Parka,261,0,Mild,781,1
O00156,2011-02-04,P008,41,V086,Italy,2011-08-01,178,Winter,Children's Parka,327,1,Mild,994,0
O00157,2011-06-17,P010,41,V020,UK,2011-10-02,107,Summer,Children's Parka,267,0,Mild,307,1
O00158,2011-11-26,P004,35,V021,France,2012-01-03,38,Fall,Children's Parka,220,0,Snow,787,1
O00159,2011-07-14,P006,20,V031,Italy,2011-12-04,143,Summer,Outdoor Series,318,1,Snow,788,0
O00160,2009-09-05,P012,23,V015,Germany,2009-10-15,40,Fall,Men's Parka,327,1,Mild,579,1
O00161,2010-05-23,P005,31,V006,Poland,2010-09-20,120,Spring,Children's Parka,223,1,Cold,672,1
O00162,2010-04-06,P017,35,V041,Germany,2010-06-10,65,Spring,Women's Parka,236,0,Cold,585,1
O00163,2009-05-12,P013,15,V074,Germany,2009-10-08,149,Spring,Men's Parka,402,0,Cold,603,0
O00164,2010-11-24,P014,6,V017,France,2011-04-20,147,Fall,Men's Parka,268,0,Snow,791,0
O00165,2009-02-13,P020,29,V057,UK,2009-05-24,100,Winter,Children's Parka,311,0,Cold,358,1
O00166,2010-04-17,P005,20,V034,Russia,2010-05-19,32,Spring,Men's Parka,341,1,Mild,844,1
O00167,2010-03-28,P019,24,V048,France,2010-06-06,70,Spring,Outdoor Series,257,1,Cold,995,1
O00168,2009-01-15,P013,27,V024,UK,2009-05-16,121,Winter,Men's Parka,494,1,Mild,995,0
O00169,2009-05-26,P014,17,V027,Spain,2009-10-31,158,Spring,Children's Parka,201,1,Mild,440,0
O00170,2009-05-01,P006,10,V072,Italy,2009-10-06,158,Spring,Men's Parka,307,0,Mild,955,0
O00171,2010-04-14,P016,20,V091,UK,2010-07-06,83,Spring,Children's Parka,256,0,Cold,501,1
O00172,2009-05-19,P018,1,V005,Poland,2009-09-15,119,Spring,Outdoor Series,207,0,Mild,381,1
O00173,2009-03-06,P006,1,V086,Russia,2009-08-17,164,Spring,Men's Parka,411,0,Cold,754,0
O00174,2010-11-08,P018,34,V041,Germany,2011-03-17,129,Fall,Women's Parka,254,1,Mild,365,0
O00175,2009-05-26,P006,49,V045,Russia,2009-11-03,161,Spring,Women's Parka,374,1,Cold,596,0
O00176,2011-11-19,P016,9,V019,UK,2012-01-04,46,Fall,Children's Parka,305,0,Cold,699,1
O00177,2010-05-03,P010,23,V048,Russia,2010-07-16,74,Spring,Men's Parka,428,1,Mild,375,1
O00178,2010-07-25,P005,19,V058,Germany,2010-10-01,68,Summer,Men's Parka,273,1,Cold,932,1
O00179,2011-09-22,P006,31,V070,France,2012-01-20,120,Fall,Men's Parka,275,0,Mild,886,1
O00180,2010-03-15,P011,35,V021,UK,2010-09-05,174,Spring,Men's Parka,263,1,Mild,647,0
O00181,2009-09-28,P015,1,V069,France,2010-01-22,116,Fall,Women's Parka,388,1,Mild,549,1
O00182,2011-08-27,P020,45,V039,Italy,2012-01-21,147,Summer,Women's Parka,366,0,Mild,890,0
O00183,2010-05-13,P002,32,V016,Italy,2010-07-17,65,Spring,Women's Parka,410,1,Cold,578,1
O00184,2011-08-27,P012,49,V004,Italy,2011-12-06,101,Summer,Men's Parka,393,0,Cold,731,1
O00185,2011-04-14,P001,31,V052,UK,2011-07-30,107,Spring,Men's Parka,465,0,Mild,797,1
O00186,2010-01-25,P016,20,V064,Germany,2010-06-04,130,Winter,Children's Parka,340,0,Cold,696,0
O00187,2009-07-13,P005,1,V099,Russia,2009-08-29,47,Summer,Women's Parka,427,0,Mild,717,1
O00188,2009-07-18,P007,50,V019,Poland,2009-12-18,153,Summer,Men's Parka,303,0,Snow,435,0
O00189,2011-06-02,P013,28,V059,Italy,2011-10-06,126,Summer,Outdoor Series,274,0,Snow,717,0
O00190,2010-12-27,P018,19,V041,Russia,2011-05-26,150,Winter,Outdoor Series,305,1,Cold,484,0
O00191,2011-05-18,P017,39,V020,France,2011-08-02,76,Spring,Men's Parka,399,0,Snow,554,1
O00192,2011-04-22,P016,15,V001,Germany,2011-10-16,177,Spring,Men's Parka,380,1,Mild,634,0
O00193,2011-08-15,P014,1,V095,Italy,2012-01-21,159,Summer,Outdoor Series,296,1,Mild,890,0
O00194,2009-04-21,P016,36,V070,France,2009-10-02,164,Spring,Men's Parka,324,0,Snow,684,0
O00195,2009-07-21,P014,24,V065,France,2009-10-25,96,Summer,Children's Parka,450,1,Cold,302,1
O00196,2009-05-05,P015,13,V043,Spain,2009-07-07,63,Spring,Men's Parka,450,1,Cold,672,1
O00197,2011-04-05,P016,27,V083,France,2011-07-26,112,Spring,Women's Parka,340,1,Cold,537,1
O00198,2010-11-26,P006,36,V091,UK,2011-05-25,180,Fall,Women's Parka,423,0,Cold,313,0
O00199,2009-08-12,P003,28,V038,UK,2010-02-06,178,Summer,Children's Parka,225,1,Snow,441,0
O00200,2010-05-25,P019,26,V061,Italy,2010-09-21,119,Spring,Women's Parka,329,1,Cold,693,1
O00201,2010-01-28,P001,16,V038,UK,2010-07-26,179,Winter,Children's Parka,201,0,Mild,375,0
O00202,2010-01-25,P008,11,V097,Russia,2010-06-07,133,Winter,Children's Parka,421,1,Cold,847,0
O00203,2011-07-08,P010,46,V074,Poland,2011-08-24,47,Summer,Men's Parka,437,1,Snow,608,1
O00204,2009-10-15,P002,48,V086,France,2009-11-25,41,Fall,Men's Parka,281,0,Snow,316,1
O00205,2011-05-15,P009,42,V019,Russia,2011-06-21,37,Spring,Outdoor Series,231,1,Cold,432,1
O00206,2010-01-11,P008,25,V073,Russia,2010-03-22,70,Winter,Women's Parka,230,0,Cold,682,1
O00207,2010-07-25,P018,25,V094,France,2010-10-22,89,Summer,Women's Parka,434,0,Cold,797,1
O00208,2011-08-06,P010,15,V057,Russia,2011-09-29,54,Summer,Men's Parka,468,0,Cold,868,1
O00209,2010-05-27,P006,17,V044,Germany,2010-07-23,57,Spring,Children's Parka,348,1,Mild,759,1
O00210,2009-06-04,P015,6,V089,Poland,2009-11-08,157,Summer,Women's Parka,304,1,Cold,306,0
O00211,2011-06-27,P019,28,V015,Russia,2011-11-25,151,Summer,Children's Parka,411,1,Cold,521,0
O00212,2009-07-20,P016,41,V094,Germany,2009-11-09,112,Summer,Outdoor Series,256,1,Mild,697,1
O00213,2009-04-14,P018,16,V062,Italy,2009-07-12,89,Spring,Women's Parka,347,0,Mild,829,1
O00214,2009-01-31,P017,34,V006,Russia,2009-05-01,90,Winter,Women's Parka,272,0,Mild,710,1
O00215,2009-07-11,P004,49,V018,France,2009-09-05,56,Summer,Children's Parka,345,1,Mild,349,1
O00216,2010-04-30,P019,40,V087,Russia,2010-07-13,74,Spring,Men's Parka,343,1,Snow,638,1
O00217,2009-12-07,P004,45,V071,Germany,2010-04-14,128,Winter,Children's Parka,290,1,Snow,353,0
O00218,2011-04-13,P009,44,V015,France,2011-08-28,137,Spring,Men's Parka,418,1,Cold,702,0
O00219,2011-09-22,P018,18,V040,Russia,2011-11-07,46,Fall,Men's Parka,207,1,Snow,542,1
O00220,2011-09-13,P012,19,V004,France,2011-10-28,45,Fall,Women's Parka,442,1,Cold,342,1
O00221,2010-03-14,P018,42,V052,France,2010-06-16,94,Spring,Women's Parka,471,1,Cold,705,1
O00222,2011-04-02,P002,48,V080,Russia,2011-05-31,59,Spring,Children's Parka,233,0,Snow,705,1
O00223,2009-05-01,P015,35,V029,France,2009-06-09,39,Spring,Outdoor Series,500,0,Mild,544,1
O00224,2009-12-04,P018,18,V058,Russia,2010-01-21,48,Winter,Men's Parka,432,0,Mild,744,1
O00225,2011-02-16,P007,27,V046,Germany,2011-07-09,143,Winter,Men's Parka,378,0,Snow,308,0
O00226,2009-01-05,P014,13,V012,France,2009-05-10,125,Winter,Children's Parka,355,0,Snow,679,0
O00227,2011-03-11,P004,5,V042,Russia,2011-04-17,37,Spring,Men's Parka,314,0,Mild,345,1
O00228,2010-06-28,P008,12,V008,Germany,2010-09-10,74,Summer,Women's Parka,430,0,Mild,432,1
O00229,2011-07-21,P010,9,V078,Spain,2011-11-10,112,Summer,Women's Parka,302,1,Cold,843,1
O00230,2010-08-08,P002,19,V083,Russia,2010-10-04,57,Summer,Women's Parka,341,1,Cold,956,1
O00231,2011-05-17,P015,8,V025,France,2011-10-09,145,Spring,Men's Parka,444,1,Cold,389,0
O00232,2011-09-24,P009,41,V075,France,2012-01-28,126,Fall,Children's Parka,399,0,Cold,962,0
O00233,2009-11-14,P012,30,V068,Germany,2010-01-17,64,Fall,Children's Parka,338,1,Cold,948,1
O00234,2010-01-24,P003,40,V029,Russia,2010-07-19,176,Winter,Women's Parka,282,1,Mild,739,0
O00235,2010-08-31,P015,29,V099,Russia,2011-02-19,172,Summer,Children's Parka,445,1,Cold,572,0
O00236,2010-03-22,P004,18,V036,Germany,2010-06-11,81,Spring,Men's Parka,312,0,Cold,308,1
O00237,2009-04-30,P008,45,V026,Russia,2009-07-19,80,Spring,Women's Parka,424,0,Cold,938,1
O00238,2009-05-05,P007,40,V003,France,2009-08-07,94,Spring,Outdoor Series,268,1,Snow,858,1
O00239,2010-10-05,P019,32,V011,Russia,2011-03-09,155,Fall,Men's Parka,208,0,Cold,901,0
O00240,2009-04-28,P012,13,V069,UK,2009-09-17,142,Spring,Women's Parka,320,1,Mild,423,0
O00241,2009-04-13,P020,21,V058,Russia,2009-07-25,103,Spring,Women's Parka,448,0,Mild,311,1
O00242,2011-09-04,P014,2,V087,Italy,2011-11-30,87,Fall,Children's Parka,396,0,Mild,521,1
O00243,2011-10-27,P006,10,V086,Italy,2012-01-16,81,Fall,Outdoor Series,312,0,Mild,900,1
O00244,2011-12-24,P020,4,V012,Poland,2012-03-04,71,Winter,Women's Parka,482,1,Cold,344,1
O00245,2009-11-19,P005,35,V066,Germany,2010-04-09,141,Fall,Men's Parka,460,0,Mild,906,0
O00246,2009-04-27,P007,2,V051,UK,2009-10-09,165,Spring,Children's Parka,274,0,Snow,421,0
O00247,2011-11-07,P007,12,V025,Germany,2012-01-25,79,Fall,Men's Parka,256,1,Cold,468,1
O00248,2009-06-14,P002,7,V063,Poland,2009-08-05,52,Summer,Women's Parka,337,1,Snow,360,1
O00249,2010-01-16,P019,19,V041,Italy,2010-07-14,179,Winter,Outdoor Series,389,0,Cold,542,0
O00250,2009-05-21,P012,18,V078,France,2009-06-26,36,Spring,Women's Parka,467,0,Cold,954,1
O00251,2009-05-20,P018,9,V078,Russia,2009-07-13,54,Spring,Men's Parka,330,0,Cold,329,1
O00252,2010-04-27,P009,46,V066,Italy,2010-07-18,82,Spring,Children's Parka,250,1,Mild,446,1
