Order Date,Requested Delivery Date,Customer Country Code,Product Code,Description,Order Type,Customer Order Code,Value,Currency,Items,Route,demand_lead_time,Month_Year
2009-04-09,2010-12-18,DE,PRD-3307,Winter Coat,VO,CUST-38911,177.51,GBP,64,R4,17,2009-04
2011-09-07,2011-09-29,RU,PRD-6726,Winter Coat,VO,CUST-19935,376.93,USD,34,R4,22,2011-09
2009-05-25,2010-12-10,IT,PRD-6560,Women's Parka,VO,CUST-42529,116.22,EUR,43,R2,43,2009-05
2010-10-17,2011-03-10,IT,PRD-4563,Winter Coat,VO,CUST-41413,275.76,RUB,88,R5,47,2010-10
2009-05-20,2011-10-03,ES,PRD-6237,Winter Coat,VO,CUST-37343,235.02,RUB,96,R1,66,2009-05
2009-01-11,2011-01-16,FR,PRD-2861,Winter Coat,VO,CUST-19102,110.11,RUB,26,R5,79,2009-01
2011-05-24,2011-07-13,ES,PRD-3721,Women's Parka,VO,CUST-16498,89.45,USD,2,R1,50,2011-05
2010-08-02,2011-03-07,FR,PRD-2487,Kid's Parka,VO,CUST-20631,136.2,GBP,3,R3,48,2010-08
2010-09-20,2011-03-30,DE,PRD-7495,Kid's Parka,VO,CUST-62339,259.77,RUB,27,R2,86,2010-09
2009-01-25,2010-01-07,DE,PRD-5419,Kid's Parka,VO,CUST-33409,87.36,USD,14,R2,34,2009-01
2009-07-14,2009-10-21,DE,PRD-1343,Kid's Parka,VO,CUST-96681,430.02,EUR,40,R5,41,2009-07
2010-12-25,2011-03-25,DE,PRD-6922,Winter Coat,VO,CUST-10168,295.26,USD,50,R5,57,2010-12
2009-12-31,2010-01-04,RU,PRD-5956,Winter Coat,VO,CUST-62724,179.11,USD,10,R4,4,2009-12
2011-03-29,2011-04-02,ES,PRD-3685,Men's Parka,VO,CUST-29789,128.38,EUR,55,R2,4,2011-03
2010-01-04,2011-03-27,RU,PRD-4753,Kid's Parka,VO,CUST-85663,183.12,EUR,42,R3,41,2010-01
2009-05-06,2010-08-26,IT,PRD-1990,Men's Parka,VO,CUST-84151,468.53,RUB,61,R5,10,2009-05
2009-04-07,2009-07-29,RU,PRD-9437,Women's Parka,VO,CUST-25814,279.51,RUB,22,R3,48,2009-04
2009-05-16,2009-07-30,IT,PRD-5603,Men's Parka,VO,CUST-68221,117.73,USD,47,R1,75,2009-05
2010-01-12,2010-02-05,DE,PRD-7608,Kid's Parka,VO,CUST-70451,350.79,GBP,19,R5,24,2010-01
2010-04-03,2011-09-10,FR,PRD-1958,Kid's Parka,VO,CUST-40816,153.37,USD,74,R4,29,2010-04
2009-07-21,2009-12-29,IT,PRD-5234,Kid's Parka,VO,CUST-98236,65.68,USD,47,R3,61,2009-07
2010-05-06,2010-05-29,IT,PRD-1534,Winter Coat,VO,CUST-21449,442.36,USD,91,R4,23,2010-05
2011-04-27,2011-06-04,ES,PRD-9790,Women's Parka,VO,CUST-66334,194.1,USD,79,R2,38,2011-04
2010-02-16,2011-03-19,ES,PRD-7237,Men's Parka,VO,CUST-40660,163.82,USD,43,R1,83,2010-02
2010-08-07,2010-12-18,IT,PRD-1655,Winter Coat,VO,CUST-59163,321.88,RUB,12,R5,54,2010-08
2009-12-30,2011-02-03,DE,PRD-5018,Men's Parka,VO,CUST-33350,234.89,USD,84,R2,71,2009-12
2009-05-21,2009-11-10,RU,PRD-4500,Winter Coat,VO,CUST-53588,235.51,EUR,64,R5,43,2009-05
2010-08-06,2011-11-29,FR,PRD-2006,Men's Parka,VO,CUST-52369,344.56,GBP,80,R2,70,2010-08
2009-06-10,2011-02-14,IT,PRD-8644,Winter Coat,VO,CUST-98032,109.53,GBP,84,R5,35,2009-06
2010-11-07,2011-01-19,FR,PRD-5416,Winter Coat,VO,CUST-71612,89.73,RUB,67,R3,73,2010-11
2010-01-11,2011-11-11,IT,PRD-7092,Men's Parka,VO,CUST-64879,383.97,GBP,71,R3,60,2010-01
2009-04-24,2011-11-10,IT,PRD-7698,Winter Coat,VO,CUST-64424,451.65,GBP,15,R4,53,2009-04
2009-01-18,2011-10-11,ES,PRD-2236,Winter Coat,VO,CUST-25647,357.79,EUR,3,R1,24,2009-01
2009-05-19,2009-11-13,RU,PRD-1073,Kid's Parka,VO,CUST-77303,339.42,RUB,29,R4,88,2009-05
2009-12-02,2011-01-05,FR,PRD-2692,Winter Coat,VO,CUST-48381,228.55,EUR,49,R3,4,2009-12
2009-03-04,2009-08-10,ES,PRD-6930,Men's Parka,VO,CUST-23011,77.72,USD,34,R1,43,2009-03
2009-07-04,2010-03-18,FR,PRD-7135,Kid's Parka,VO,CUST-36959,94.26,USD,58,R4,81,2009-07
2011-04-25,2011-06-08,RU,PRD-3804,Women's Parka,VO,CUST-44284,255.32,RUB,8,R2,44,2011-04
2010-09-08,2011-01-23,FR,PRD-8431,Winter Coat,VO,CUST-51582,304.05,USD,38,R1,10,2010-09
2009-03-26,2010-03-26,DE,PRD-1665,Kid's Parka,VO,CUST-80277,143.11,GBP,11,R1,82,2009-03
2009-07-05,2010-08-28,FR,PRD-2758,Winter Coat,VO,CUST-20600,439.57,EUR,73,R1,2,2009-07
2010-09-29,2011-11-30,RU,PRD-4360,Men's Parka,VO,CUST-37074,144.91,USD,27,R2,85,2010-09
2009-12-12,2011-06-20,RU,PRD-3426,Women's Parka,VO,CUST-86562,421.58,USD,77,R4,54,2009-12
2009-02-20,2011-12-07,IT,PRD-1712,Kid's Parka,VO,CUST-35797,493.35,GBP,44,R5,55,2009-02
2009-03-16,2009-05-11,DE,PRD-9817,Kid's Parka,VO,CUST-60338,252.94,GBP,7,R3,56,2009-03
2010-02-16,2011-10-18,ES,PRD-9188,Men's Parka,VO,CUST-58272,184.49,USD,86,R1,89,2010-02
2010-01-30,2011-02-23,IT,PRD-1481,Women's Parka,VO,CUST-16713,91.98,RUB,74,R5,17,2010-01
2010-08-02,2010-08-07,ES,PRD-5062,Women's Parka,VO,CUST-98533,323.35,RUB,80,R3,5,2010-08
2009-03-18,2011-09-26,DE,PRD-8582,Kid's Parka,VO,CUST-46141,164.02,EUR,6,R1,85,2009-03
2009-10-25,2011-09-02,DE,PRD-6997,Kid's Parka,VO,CUST-15532,206.17,GBP,12,R5,49,2009-10
2011-08-04,2011-12-24,DE,PRD-2139,Winter Coat,VO,CUST-77519,188.55,USD,5,R1,15,2011-08
2009-03-13,2009-11-17,DE,PRD-7275,Men's Parka,VO,CUST-99250,392.24,GBP,83,R5,71,2009-03
2010-05-31,2011-07-14,FR,PRD-3323,Women's Parka,VO,CUST-29258,131.22,GBP,11,R5,8,2010-05
2009-05-31,2010-05-26,ES,PRD-2154,Women's Parka,VO,CUST-44385,368.76,RUB,37,R2,11,2009-05
2010-04-26,2010-05-10,ES,PRD-5698,Men's Parka,VO,CUST-64486,360.01,RUB,75,R5,14,2010-04
2009-09-27,2011-01-21,RU,PRD-3109,Kid's Parka,VO,CUST-87665,260.98,USD,8,R4,86,2009-09
2010-04-19,2010-08-06,DE,PRD-1783,Winter Coat,VO,CUST-48789,361.14,GBP,95,R2,61,2010-04
2009-07-09,2010-07-01,DE,PRD-9993,Men's Parka,VO,CUST-95134,470.88,EUR,65,R3,28,2009-07
2010-08-15,2011-01-11,RU,PRD-2220,Men's Parka,VO,CUST-61313,152.35,EUR,47,R4,63,2010-08
2010-07-21,2010-10-22,FR,PRD-1463,Women's Parka,VO,CUST-38168,190.1,EUR,81,R1,85,2010-07
2009-05-03,2009-12-16,ES,PRD-9671,Women's Parka,VO,CUST-93335,140.16,USD,25,R3,16,2009-05
2009-02-08,2011-03-01,FR,PRD-4661,Women's Parka,VO,CUST-74160,464.58,RUB,55,R4,11,2009-02
2009-05-23,2010-06-19,ES,PRD-8363,Men's Parka,VO,CUST-74734,386.98,EUR,34,R3,27,2009-05
2009-01-08,2009-03-15,ES,PRD-3477,Women's Parka,VO,CUST-17065,103.54,EUR,2,R1,66,2009-01
2009-03-31,2010-06-18,FR,PRD-9184,Winter Coat,VO,CUST-98007,305.98,RUB,31,R3,20,2009-03
2009-03-07,2010-11-20,FR,PRD-3045,Men's Parka,VO,CUST-38759,396.29,GBP,22,R3,88,2009-03
2011-03-12,2011-06-21,IT,PRD-8253,Women's Parka,VO,CUST-81510,82.23,EUR,86,R1,12,2011-03
2009-06-26,2011-02-03,RU,PRD-7065,Winter Coat,VO,CUST-76854,323.81,GBP,32,R1,67,2009-06
2010-06-15,2011-11-28,RU,PRD-4193,Kid's Parka,VO,CUST-67665,425.88,USD,71,R1,33,2010-06
2009-01-11,2009-09-13,FR,PRD-5102,Kid's Parka,VO,CUST-41939,472.83,USD,11,R2,59,2009-01
2009-03-01,2010-09-30,FR,PRD-6454,Men's Parka,VO,CUST-72315,150.32,GBP,10,R2,12,2009-03
2009-01-21,2010-10-30,FR,PRD-3959,Men's Parka,VO,CUST-47494,77.3,GBP,16,R4,53,2009-01
2010-05-24,2011-02-26,DE,PRD-9988,Winter Coat,VO,CUST-77961,397.88,USD,51,R4,73,2010-05
2010-06-09,2010-08-18,DE,PRD-7463,Winter Coat,VO,CUST-98458,76.12,USD,35,R3,70,2010-06
2009-11-05,2011-05-31,RU,PRD-7533,Winter Coat,VO,CUST-14145,152.49,GBP,74,R5,34,2009-11
2009-05-23,2009-10-07,DE,PRD-4286,Winter Coat,VO,CUST-82753,261.53,USD,99,R1,5,2009-05
2010-10-17,2011-01-11,IT,PRD-5530,Women's Parka,VO,CUST-70093,216.64,USD,77,R3,86,2010-10
2009-08-27,2011-10-24,DE,PRD-8977,Kid's Parka,VO,CUST-30256,70.57,USD,78,R1,1,2009-08
2010-01-02,2010-08-06,DE,PRD-4420,Women's Parka,VO,CUST-24771,413.33,EUR,3,R1,23,2010-01
2009-09-02,2010-06-01,RU,PRD-1832,Winter Coat,VO,CUST-52754,51.82,GBP,38,R3,47,2009-09
2009-01-10,2011-06-22,DE,PRD-9713,Winter Coat,VO,CUST-56118,220.71,GBP,72,R5,39,2009-01
2009-04-14,2011-05-08,IT,PRD-7236,Women's Parka,VO,CUST-26112,276.97,EUR,64,R1,78,2009-04
2010-08-17,2011-05-09,IT,PRD-1325,Winter Coat,VO,CUST-66503,278.51,EUR,27,R4,19,2010-08
2010-09-04,2011-08-07,IT,PRD-7404,Winter Coat,VO,CUST-69311,206.55,USD,50,R5,44,2010-09
2009-04-09,2009-07-05,ES,PRD-5581,Men's Parka,VO,CUST-27149,53.07,USD,60,R2,87,2009-04
2010-08-24,2010-09-11,FR,PRD-8984,Kid's Parka,VO,CUST-66760,477.08,RUB,13,R1,18,2010-08
2010-08-27,2011-06-11,DE,PRD-2526,Kid's Parka,VO,CUST-75490,116.25,USD,31,R3,72,2010-08
2011-05-19,2011-12-23,DE,PRD-1458,Kid's Parka,VO,CUST-38126,149.88,RUB,64,R2,42,2011-05
2009-06-20,2010-04-18,ES,PRD-9490,Winter Coat,VO,CUST-58736,72.74,RUB,14,R3,33,2009-06
2009-03-27,2011-11-21,DE,PRD-4892,Men's Parka,VO,CUST-51929,155.78,GBP,84,R5,70,2009-03
2011-04-30,2011-08-17,ES,PRD-2830,Men's Parka,VO,CUST-11996,278.12,GBP,96,R5,71,2011-04
2009-04-13,2009-06-16,DE,PRD-8301,Women's Parka,VO,CUST-97518,328.66,EUR,92,R2,64,2009-04
2011-07-10,2011-09-06,IT,PRD-7230,Kid's Parka,VO,CUST-16816,430.65,USD,87,R3,58,2011-07
2010-09-02,2011-03-26,IT,PRD-1744,Men's Parka,VO,CUST-73754,274.31,USD,69,R2,10,2010-09
2009-01-10,2010-12-04,DE,PRD-5344,Kid's Parka,VO,CUST-57538,478.69,RUB,45,R2,61,2009-01
2010-05-18,2011-01-03,RU,PRD-1044,Women's Parka,VO,CUST-65289,440.04,USD,9,R1,18,2010-05
2011-07-29,2011-12-31,ES,PRD-8619,Men's Parka,VO,CUST-53118,186.64,EUR,81,R3,30,2011-07
2010-07-03,2011-09-27,RU,PRD-5586,Kid's Parka,VO,CUST-81610,185.42,USD,66,R1,64,2010-07
2009-06-22,2010-02-18,ES,PRD-9614,Women's Parka,VO,CUST-72407,88.6,RUB,54,R4,79,2009-06
2009-03-31,2010-09-21,IT,PRD-5701,Women's Parka,VO,CUST-83574,283.97,USD,15,R1,50,2009-03
2011-02-04,2011-05-21,IT,PRD-3460,Kid's Parka,VO,CUST-37087,441.11,GBP,78,R5,83,2011-02
2010-05-05,2010-06-19,IT,PRD-6005,Winter Coat,VO,CUST-34590,409.26,USD,96,R2,45,2010-05
2010-07-04,2010-07-19,ES,PRD-4840,Women's Parka,VO,CUST-60051,186.02,RUB,49,R5,15,2010-07
2009-05-04,2010-03-25,RU,PRD-8941,Women's Parka,VO,CUST-54707,82.18,RUB,12,R4,9,2009-05
2010-04-11,2011-02-17,IT,PRD-8278,Kid's Parka,VO,CUST-14001,148.08,GBP,90,R2,43,2010-04
2010-04-23,2010-07-23,IT,PRD-3475,Men's Parka,VO,CUST-78905,274.17,GBP,36,R5,45,2010-04
2009-11-02,2011-12-12,ES,PRD-5051,Winter Coat,VO,CUST-42148,94.52,GBP,97,R3,48,2009-11
2009-07-08,2010-10-01,DE,PRD-4839,Winter Coat,VO,CUST-73478,368.75,EUR,90,R4,73,2009-07
2009-07-18,2010-10-10,ES,PRD-9873,Kid's Parka,VO,CUST-22263,328.84,GBP,13,R2,76,2009-07
2009-09-10,2009-11-24,DE,PRD-5677,Men's Parka,VO,CUST-37498,478.82,GBP,40,R4,75,2009-09
2010-01-30,2011-03-04,RU,PRD-8171,Women's Parka,VO,CUST-56395,393.23,EUR,54,R4,13,2010-01
2010-09-26,2011-02-06,FR,PRD-5069,Kid's Parka,VO,CUST-55310,54.62,EUR,89,R3,13,2010-09
2009-02-12,2009-09-10,ES,PRD-6879,Winter Coat,VO,CUST-39200,155.4,EUR,24,R4,54,2009-02
2010-04-18,2011-01-11,RU,PRD-7415,Winter Coat,VO,CUST-82911,264.64,GBP,51,R3,83,2010-04
2010-07-13,2011-11-20,IT,PRD-3956,Women's Parka,VO,CUST-55382,164.42,GBP,94,R5,16,2010-07
2009-12-10,2011-02-16,RU,PRD-7791,Men's Parka,VO,CUST-88991,430.36,GBP,28,R1,70,2009-12
2009-11-09,2011-04-16,ES,PRD-4987,Women's Parka,VO,CUST-30139,237.63,GBP,24,R2,3,2009-11
2009-09-09,2009-09-12,DE,PRD-8265,Winter Coat,VO,CUST-15318,383.23,GBP,29,R2,3,2009-09
2011-05-02,2011-08-25,RU,PRD-4520,Winter Coat,VO,CUST-92820,300.44,GBP,96,R3,70,2011-05
2010-12-10,2011-04-19,ES,PRD-4268,Men's Parka,VO,CUST-44189,384.69,GBP,57,R1,89,2010-12
2010-05-19,2011-07-14,DE,PRD-9300,Winter Coat,VO,CUST-96893,164.15,USD,98,R2,44,2010-05
2009-02-10,2011-05-02,IT,PRD-3503,Men's Parka,VO,CUST-86151,167.86,USD,76,R3,8,2009-02
2010-06-25,2010-08-14,ES,PRD-4563,Men's Parka,VO,CUST-92505,362.97,USD,86,R1,50,2010-06
2009-07-16,2010-06-29,FR,PRD-5818,Kid's Parka,VO,CUST-91556,85.63,USD,10,R2,56,2009-07
2010-10-16,2011-09-23,ES,PRD-5827,Kid's Parka,VO,CUST-97592,308.01,GBP,82,R1,35,2010-10
2009-07-03,2010-01-28,RU,PRD-1965,Kid's Parka,VO,CUST-56845,442.83,RUB,1,R2,57,2009-07
2010-01-02,2011-11-04,IT,PRD-3715,Kid's Parka,VO,CUST-37074,467.98,USD,77,R4,13,2010-01
2010-02-08,2010-07-17,IT,PRD-3556,Men's Parka,VO,CUST-90731,122.97,EUR,46,R5,72,2010-02
2010-02-02,2010-05-17,FR,PRD-8120,Men's Parka,VO,CUST-65117,465.94,RUB,20,R2,4,2010-02
2009-12-27,2010-12-14,RU,PRD-7772,Winter Coat,VO,CUST-68059,220.88,RUB,18,R3,16,2009-12
2010-08-22,2011-06-28,RU,PRD-1810,Men's Parka,VO,CUST-90306,68.71,USD,2,R2,34,2010-08
2009-08-11,2009-09-12,DE,PRD-5027,Women's Parka,VO,CUST-44896,454.66,RUB,73,R2,32,2009-08
2010-07-15,2011-01-18,DE,PRD-5179,Men's Parka,VO,CUST-16636,82.47,EUR,33,R3,85,2010-07
2010-12-18,2011-10-31,RU,PRD-9648,Kid's Parka,VO,CUST-52584,348.82,RUB,68,R5,65,2010-12
2010-10-20,2011-06-23,IT,PRD-8051,Winter Coat,VO,CUST-65229,433.09,GBP,29,R3,19,2010-10
2010-07-31,2011-12-06,DE,PRD-1352,Winter Coat,VO,CUST-59501,231.73,RUB,51,R2,86,2010-07
2009-06-16,2011-12-10,ES,PRD-3336,Kid's Parka,VO,CUST-48667,413.93,EUR,27,R5,47,2009-06
2010-07-28,2011-04-08,ES,PRD-4717,Men's Parka,VO,CUST-61261,469.38,EUR,97,R2,83,2010-07
2009-12-12,2011-11-19,ES,PRD-7783,Men's Parka,VO,CUST-91911,356.5,USD,22,R1,86,2009-12
2010-05-07,2011-11-10,RU,PRD-5744,Kid's Parka,VO,CUST-35314,444.51,USD,41,R5,1,2010-05
2010-09-29,2011-11-19,IT,PRD-2417,Women's Parka,VO,CUST-22257,254.52,EUR,37,R5,11,2010-09
2009-11-20,2010-08-08,ES,PRD-8326,Men's Parka,VO,CUST-84041,469.4,USD,11,R4,48,2009-11
2009-10-20,2010-03-02,DE,PRD-3250,Women's Parka,VO,CUST-57460,178.41,GBP,91,R3,77,2009-10
2009-06-27,2010-04-14,RU,PRD-6018,Women's Parka,VO,CUST-35630,400.94,EUR,43,R4,58,2009-06
2010-06-24,2011-09-26,DE,PRD-3572,Men's Parka,VO,CUST-60845,56.63,USD,87,R1,20,2010-06
2010-12-03,2011-07-22,RU,PRD-9435,Women's Parka,VO,CUST-97417,85.97,USD,8,R5,29,2010-12
2011-08-03,2011-09-20,FR,PRD-3008,Women's Parka,VO,CUST-20191,467.44,USD,59,R3,48,2011-08
2009-08-14,2009-09-27,FR,PRD-8378,Kid's Parka,VO,CUST-49167,373.7,EUR,98,R5,44,2009-08
2009-08-25,2010-06-28,FR,PRD-5439,Women's Parka,VO,CUST-69447,351.99,EUR,88,R2,42,2009-08
2009-10-06,2010-05-28,ES,PRD-6680,Women's Parka,VO,CUST-63175,213.93,GBP,53,R2,62,2009-10
2009-02-20,2011-08-01,DE,PRD-5784,Men's Parka,VO,CUST-49847,139.36,EUR,30,R2,50,2009-02
2009-12-02,2010-08-14,RU,PRD-8366,Winter Coat,VO,CUST-96607,371.64,GBP,79,R2,23,2009-12
2010-09-28,2011-04-17,DE,PRD-9061,Men's Parka,VO,CUST-69930,434.43,EUR,60,R3,2,2010-09
2010-11-25,2011-03-18,DE,PRD-7684,Kid's Parka,VO,CUST-67822,128.18,RUB,51,R1,24,2010-11
2010-07-27,2011-12-02,RU,PRD-4464,Winter Coat,VO,CUST-32761,327.36,RUB,32,R1,60,2010-07
2009-07-12,2011-09-10,ES,PRD-4484,Kid's Parka,VO,CUST-89712,423.9,EUR,42,R2,49,2009-07
2010-01-21,2010-10-03,RU,PRD-9528,Winter Coat,VO,CUST-36844,340.91,GBP,23,R3,65,2010-01
2009-01-12,2009-10-12,FR,PRD-5048,Kid's Parka,VO,CUST-41147,398.6,EUR,88,R3,12,2009-01
2010-10-09,2010-10-20,DE,PRD-2218,Women's Parka,VO,CUST-97974,306.9,USD,74,R5,11,2010-10
2009-01-07,2010-02-16,IT,PRD-8780,Men's Parka,VO,CUST-67669,60.97,RUB,15,R3,79,2009-01
2009-04-23,2010-07-24,ES,PRD-5564,Winter Coat,VO,CUST-98699,433.48,RUB,94,R1,37,2009-04
2009-01-16,2011-04-24,ES,PRD-6433,Kid's Parka,VO,CUST-30064,176.87,GBP,47,R2,58,2009-01
2009-08-28,2009-11-07,RU,PRD-6737,Kid's Parka,VO,CUST-13567,482.72,USD,13,R5,71,2009-08
2009-05-23,2011-06-08,DE,PRD-8829,Women's Parka,VO,CUST-56273,73.52,RUB,60,R2,63,2009-05
2011-07-31,2011-09-02,FR,PRD-5960,Kid's Parka,VO,CUST-61286,251.35,EUR,27,R2,33,2011-07
2009-01-15,2009-07-15,ES,PRD-1772,Women's Parka,VO,CUST-59132,478.74,GBP,52,R2,25,2009-01
2010-02-02,2011-09-14,RU,PRD-9844,Women's Parka,VO,CUST-92600,340.9,RUB,69,R2,36,2010-02
2009-03-07,2009-11-22,IT,PRD-9845,Women's Parka,VO,CUST-38511,296.06,EUR,11,R4,11,2009-03
2009-06-02,2011-08-10,RU,PRD-2460,Winter Coat,VO,CUST-38466,57.13,USD,98,R1,41,2009-06
2011-01-18,2011-03-28,DE,PRD-7682,Kid's Parka,VO,CUST-47323,62.11,RUB,2,R4,69,2011-01
2010-02-04,2010-07-21,RU,PRD-8265,Winter Coat,VO,CUST-73002,93.07,USD,13,R4,73,2010-02
2009-04-17,2011-11-20,FR,PRD-6904,Kid's Parka,VO,CUST-92098,263.71,RUB,46,R4,63,2009-04
2011-01-05,2011-06-01,IT,PRD-4001,Winter Coat,VO,CUST-54106,214.72,EUR,62,R5,42,2011-01
2009-03-10,2010-02-23,FR,PRD-8928,Kid's Parka,VO,CUST-32882,436.79,RUB,47,R4,66,2009-03
2009-07-03,2010-10-10,DE,PRD-3173,Men's Parka,VO,CUST-27698,466.76,RUB,90,R5,12,2009-07
2010-09-22,2011-05-20,ES,PRD-3754,Men's Parka,VO,CUST-46097,269.46,EUR,12,R2,14,2010-09
2009-06-18,2010-11-17,ES,PRD-1824,Winter Coat,VO,CUST-58474,480.65,EUR,12,R4,77,2009-06
2010-05-15,2011-07-21,DE,PRD-1355,Men's Parka,VO,CUST-14793,337.47,GBP,12,R2,83,2010-05
2009-06-16,2011-05-09,DE,PRD-2090,Men's Parka,VO,CUST-46345,492.06,RUB,18,R2,82,2009-06
2009-11-24,2011-08-29,ES,PRD-3901,Women's Parka,VO,CUST-41524,191.35,GBP,47,R5,71,2009-11
2010-04-28,2010-12-16,ES,PRD-5405,Women's Parka,VO,CUST-81927,300.29,USD,70,R4,84,2010-04
2009-06-17,2010-12-20,IT,PRD-7305,Women's Parka,VO,CUST-69624,327.49,EUR,40,R5,88,2009-06
2010-10-17,2011-08-20,FR,PRD-6350,Women's Parka,VO,CUST-95570,105.09,GBP,45,R4,21,2010-10
2011-07-31,2011-09-30,ES,PRD-9602,Winter Coat,VO,CUST-16013,340.47,EUR,67,R5,61,2011-07
2009-04-18,2009-08-28,IT,PRD-7543,Winter Coat,VO,CUST-35250,193.69,RUB,58,R3,37,2009-04
2010-04-01,2011-06-01,FR,PRD-8548,Kid's Parka,VO,CUST-93592,295.43,RUB,95,R4,85,2010-04
2009-12-10,2009-12-25,FR,PRD-1510,Kid's Parka,VO,CUST-33116,145.86,RUB,96,R1,15,2009-12
2009-02-01,2011-11-18,DE,PRD-9728,Winter Coat,VO,CUST-84416,237.9,RUB,54,R2,25,2009-02
2010-03-08,2010-05-24,RU,PRD-9899,Kid's Parka,VO,CUST-98939,124.46,GBP,9,R3,77,2010-03
2011-04-03,2011-12-09,DE,PRD-8370,Winter Coat,VO,CUST-20149,77.37,RUB,34,R4,60,2011-04
2009-04-03,2009-04-17,DE,PRD-7586,Kid's Parka,VO,CUST-24750,422.74,RUB,27,R2,14,2009-04
2009-02-18,2011-10-20,ES,PRD-7972,Men's Parka,VO,CUST-50824,294.18,EUR,60,R5,20,2009-02
2010-07-04,2011-10-25,IT,PRD-7718,Kid's Parka,VO,CUST-87294,343.98,USD,25,R1,21,2010-07
2010-01-21,2010-11-23,FR,PRD-4654,Men's Parka,VO,CUST-57952,458.72,RUB,83,R2,44,2010-01
2011-03-19,2011-04-05,IT,PRD-5631,Winter Coat,VO,CUST-60703,71.72,RUB,78,R3,17,2011-03
2009-03-03,2009-10-07,RU,PRD-5029,Women's Parka,VO,CUST-98041,206.39,GBP,40,R4,84,2009-03
2010-05-17,2011-08-07,ES,PRD-7848,Winter Coat,VO,CUST-81651,242.89,GBP,76,R2,48,2010-05
2009-01-15,2011-11-22,ES,PRD-9033,Kid's Parka,VO,CUST-83154,317.9,RUB,36,R2,71,2009-01
2009-07-11,2010-01-07,RU,PRD-3156,Men's Parka,VO,CUST-60370,353.81,GBP,25,R1,64,2009-07
2009-07-22,2009-11-12,FR,PRD-5596,Kid's Parka,VO,CUST-64339,123.29,USD,61,R2,9,2009-07
2009-07-31,2011-10-02,ES,PRD-5459,Men's Parka,VO,CUST-63661,304.28,USD,14,R1,70,2009-07
2010-09-06,2011-08-16,IT,PRD-9272,Women's Parka,VO,CUST-97520,404.5,USD,7,R4,31,2010-09
2010-09-12,2011-08-13,ES,PRD-9362,Kid's Parka,VO,CUST-19863,207.34,EUR,93,R4,40,2010-09
2009-10-26,2011-08-30,RU,PRD-6845,Women's Parka,VO,CUST-26514,65.59,RUB,90,R2,13,2009-10
2010-04-16,2011-06-21,IT,PRD-6419,Kid's Parka,VO,CUST-60003,117.81,USD,34,R4,59,2010-04
2009-10-02,2010-10-18,FR,PRD-2318,Women's Parka,VO,CUST-48570,443.91,EUR,51,R4,38,2009-10
2009-03-05,2009-03-09,IT,PRD-6682,Men's Parka,VO,CUST-77325,186.51,USD,87,R1,4,2009-03
